feature,gain,split
f_cat_uniq,22156893.091362,3005
creat_type_cd,13933051.509254456,1108
slot_id,4446467.670398712,3973
f_refresh_sum,3752126.0554771423,3525
f_up_mean,1719873.214138031,4500
pt_d,1512974.0103225708,6232
log_id,1438030.5807685852,5827
f_up_sum,1397106.017211914,3791
user_id,1290824.1335754395,5357
f_hour_cos,1281116.8605041504,5041
device_size,1277273.4633102417,4069
f_rows,1244886.8192481995,3390
task_id,1204400.3149223328,4955
f_entities_len_mean,1195102.919002533,4693
adv_id,1184988.1953430176,4973
f_dislike_mean,1144553.8754348755,4418
adv_prim_id,1087538.436969757,4120
f_dislike_sum,1010918.6238632202,3962
spread_app_id,749575.5503463745,2721
f_refresh_mean,665658.4683189392,1728
hispace_app_tags,479305.9021873474,1612
inter_type_cd,401710.26176452637,520
app_second_class,397328.6945800781,1390
ad_click_list_v002_uniq,349512.90625,902
u_newsCatInterestsST_uniq,314013.9619064331,749
f_browser_life,178624.76500701904,599
u_newsCatInterestsST_len,159696.3765258789,259
u_refreshTimes,144534.47689056396,471
u_feedLifeCycle,106388.74584197998,400
ad_click_list_v002_len,47880.15899658203,162
